brand,model,price,year,mileage,city,transmission_type,color,fuel,date
Peugeot,301,570000,2019,162000,شرم الشيخ,أتوماتيك,أسود,بنزين,2025-04-21
Land Rover,Evoque,1500000,2013,159000,مصر الجديدة,أتوماتيك,فيراني,بنزين,2025-04-21
Jetour,X70,1050000,2022,87400,الجيزة,أتوماتيك,أسود,بنزين,2025-04-21
Suzuki,Sx4,400000,2008,300000,المهندسين,أتوماتيك,فضي,بنزين,2025-04-21
Chevrolet,Optra,420000,2010,176000,الزقازيق,مانيوال,سماوى,بنزين,2025-04-18
Ford,Focus,1100000,2021,95000,مدينة الشيخ زايد,أتوماتيك,احمر,بنزين,2025-04-18
Daewoo,Lacetti,430000,2005,198000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-18
Mercedes,A 200,1900000,2019,141000,مدينتى,أتوماتيك,أبيض,بنزين,2025-04-18
Kia,Picanto,373000,2007,120000,الغربية,أتوماتيك,أبيض,بنزين,2025-04-18
MG,5,680000,2021,193631,6 أكتوبر,أتوماتيك,شمبان,بنزين,2025-04-18
Toyota,Yaris,450000,2008,114000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-18
Volkswagen,Pointer,180000,2004,140000,مصر الجديدة,مانيوال,فيراني,بنزين,2025-04-18
Chevrolet,Cruze,540000,2016,200000,6 أكتوبر,أتوماتيك,أزرق,بنزين,2025-04-18
Hyundai,Accent,195000,1999,250000,أبو كبير,مانيوال,أبيض,بنزين,2025-04-18
Mitsubishi,Lancer Crystala,260000,1998,284000,أسيوط,مانيوال,فضي,بنزين,2025-04-18
Kia,Picanto,410000,2007,180000,دمياط,أتوماتيك,سماوى,بنزين,2025-04-18
Volkswagen,Jetta,620000,2008,68000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-18
Chrysler,PT Cruiser,450000,2006,171000,الإسكندرية,أتوماتيك,برتقالى,بنزين,2025-04-18
Suzuki,Dzire,500000,2022,50000,الإسكندرية,مانيوال,أزرق,بنزين,2025-04-18
Mitsubishi,Eclipse Cross,1430000,2024,7000,القاهرة,أتوماتيك,أسود,ديزل,2025-04-18
Suzuki,Baleno,725000,2022,35000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-18
Chevrolet,Aveo,545000,2019,74500,الشروق,أتوماتيك,فضي,بنزين,2025-04-18
Nissan,Qashqai,960000,2020,96000,مصر الجديدة,أتوماتيك,سماوى,بنزين,2025-04-17
Mitsubishi,Lancer EX Shark,685000,2015,155000,حلوان,أتوماتيك,رمادي,بنزين,2025-04-18
Speranza,A516,230000,2008,230000,القاهرة,مانيوال,أسود,غاز الطبيعي,2025-04-18
Nissan,Sunny,465000,2016,125000,مدينة السادات,أتوماتيك,أسود,بنزين,2025-04-18
Opel,Astra,700000,2016,158000,التجمع - القاهرة الجديدة,أتوماتيك,بترولي,بنزين,2025-04-18
Byd,F3,425000,2020,200000,القاهرة,مانيوال,فضي,غاز الطبيعي,2025-04-18
Renault,Duster,785000,2019,110000,القاهرة,أتوماتيك,موكا,بنزين,2025-04-18
Hyundai,Elantra AD,875000,2019,28000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-18
Hyundai,Accent,195000,2006,245000,القاهرة,مانيوال,ذهبي,غاز الطبيعي,2025-04-18
Mercedes,300,360000,1990,270000,الجيزة,أتوماتيك,فضي,بنزين,2025-04-18
Toyota,Corolla,870000,2019,150000,مدينة نصر,أتوماتيك,فيراني,بنزين,2025-04-21
Renault,Duster,720000,2019,145000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-21
Nissan,Juke,775000,2015,142500,القاهرة,أتوماتيك,احمر,بنزين,2025-04-21
Kia,Carens,1600000,2024,3000,الباجور,أتوماتيك,فضي,بنزين,2025-04-21
Nissan,Qashqai,900000,2019,144000,الهرم,أتوماتيك,أبيض,بنزين,2025-04-21
Renault,Logan,400000,2019,90000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-21
Renault,Fluence,625000,2015,162000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Kia,Shuma,185000,1999,235000,الأقصر,أتوماتيك,أسود,بنزين,2025-04-21
Mercedes,GLE,5200000,2021,90000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Renault,Duster,750000,2020,100000,التجمع - القاهرة الجديدة,أتوماتيك,فيراني,بنزين,2025-04-21
Skoda,Octavia A7,990000,2016,150000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-18
Chery,Arrizo 5,480000,2020,129000,الغردقة,أتوماتيك,احمر,بنزين,2025-04-17
Mercedes,C 180,1360000,2013,94000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-17
Opel,Astra,880000,2021,44000,الإسكندرية,أتوماتيك,احمر,بنزين,2025-04-17
Nissan,Juke,620000,2014,75000,دمنهور,أتوماتيك,فضي,بنزين,2025-04-17
Fiat,Tipo,1150000,2022,20000,العبور,أتوماتيك,الأزرق الداكن,بنزين,2025-04-17
Suzuki,S Presso,395000,2021,43277,الوراق,مانيوال,رمادي,بنزين,2025-04-17
Speranza,M11,275000,2011,145300,الإسكندرية,مانيوال,أزرق,بنزين,2025-04-17
Skoda,Octavia A4,320000,2001,300000,الهرم,مانيوال,فضي,بنزين,2025-04-17
Chevrolet,Cruze,395000,2010,225000,6 أكتوبر,أتوماتيك,سماوى,بنزين,2025-04-17
Byd,F3,390000,2011,450000,القاهرة,مانيوال,أبيض,بنزين,2025-04-17
Chery,Envy,320000,2018,209000,القاهرة,مانيوال,بني,بنزين,2025-04-17
Hyundai,Elantra CN7,1240000,2021,45000,6 أكتوبر,أتوماتيك,رمادي,بنزين,2025-04-17
Renault,Sandero,510000,2015,127000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-17
Mercedes,E 200,333000,1987,300000,أسيوط,أتوماتيك,اخضر غامق,بنزين,2025-04-17
Renault,Megane,300000,2006,410000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-17
Honda,Civic,180000,1991,250000,الجيزة,أتوماتيك,احمر,بنزين,2025-04-17
Jac,S7,870000,2019,120000,الغردقة,أتوماتيك,فضي,بنزين,2025-04-17
Geely,GX3 Pro,830000,2024,10000,الغردقة,أتوماتيك,سماوى,بنزين,2025-04-17
Haval,H6,1280000,2022,74000,الغردقة,أتوماتيك,أسود,بنزين,2025-04-17
MG,HS,1175000,2021,80000,الغردقة,أتوماتيك,أزرق,بنزين,2025-04-17
Chery,Arrizo 5,455000,2020,300000,منيا القمح,أتوماتيك,فيراني,بنزين,2025-04-17
Toyota,Corolla,590000,2007,360000,الشروق,مانيوال,أسود,بنزين,2025-04-17
Nissan,Sunny,505000,2019,60000,كفر الشيخ,أتوماتيك,موكا,بنزين,2025-04-17
Daihatsu,Terios,580000,2009,200000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-17
Hyundai,Elantra MD,630000,2013,165000,سوهاج,أتوماتيك,أبيض,بنزين,2025-04-17
Renault,Megane,850000,2018,99000,6 أكتوبر,أتوماتيك,الأزرق الداكن,بنزين,2025-04-17
Audi,A3,800000,2012,150000,الجيزة,أتوماتيك,رمادي,بنزين,2025-04-17
Hyundai,Elantra,550000,2018,280000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-17
Toyota,Corolla,850000,2019,125000,المعادى,أتوماتيك,رمادي,بنزين,2025-04-17
Opel,Astra,635000,2015,135000,مدينة نصر,أتوماتيك,رمادي,بنزين,2025-04-21
Nissan,Juke,670000,2014,131000,مدينة نصر,أتوماتيك,احمر,بنزين,2025-04-21
Daewoo,Lanos 2,280000,2025,100000,العجمى,مانيوال,أخضر,بنزين,2025-04-21
Mercedes,C 180,2700000,2020,54000,القاهرة,أتوماتيك,رمادي,بنزين,2025-04-21
Mitsubishi,Lancer EX Shark,670000,2015,124000,الشروق,أتوماتيك,فضي,بنزين,2025-04-21
Volkswagen,T-Roc,1550000,2024,49000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-21
Chevrolet,Captiva,975000,2021,94000,مدينة نصر,أتوماتيك,رمادي,بنزين,2025-04-21
Citroën,C Elysee,625000,2021,105000,مدينة نصر,أتوماتيك,أزرق,بنزين,2025-04-21
Chevrolet,Captiva,1100000,2022,95000,القاهرة,أتوماتيك,رمادي,بنزين,2025-04-17
Hyundai,Accent HCI,870000,2021,38500,الإسكندرية,أتوماتيك,احمر,بنزين,2025-04-17
Skoda,Felicia,125000,1995,258333,شبرا,مانيوال,الأزرق الداكن,بنزين,2025-04-17
Kia,Sportage,450000,2005,250000,التجمع - القاهرة الجديدة,أتوماتيك,زيتوني,بنزين,2025-04-17
BMW,525,820000,2008,270000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-17
Mercedes,S 280,500000,1984,190000,شبرا,أتوماتيك,بني,بنزين,2025-04-17
Kia,Forte,625000,2009,162000,بني سويف,أتوماتيك,أسود,بنزين,2025-04-17
Hyundai,Verna,375000,2015,375000,السويس,مانيوال,أبيض,غاز الطبيعي,2025-04-17
Nissan,Sunny,670000,2021,8000,الإسكندرية,أتوماتيك,احمر,بنزين,2025-04-17
Hyundai,Elantra MD,640000,2013,259000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-17
Hyundai,Elantra,560000,2008,293000,الشروق,أتوماتيك,فيراني,بنزين,2025-04-17
Hyundai,Tucson,1730000,2024,20000,مصر الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
Citroën,Ds5,780000,2017,190000,6 أكتوبر,أتوماتيك,فيراني,بنزين,2025-04-17
Kia,Cerato,975000,2018,30000,مدينة نصر,أتوماتيك,رمادي,بنزين,2025-04-17
Ford,Fiesta,65000,1996,180000,حلوان,مانيوال,أسود,بنزين,2025-04-17
Suzuki,Ertiga,630000,2016,280000,المعادى,أتوماتيك,فضي,بنزين,2025-04-17
Peugeot,301,500000,2014,200000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-17
Volkswagen,Passat,330000,2002,300000,القاهرة,مانيوال,أزرق,بنزين,2025-04-17
Peugeot,3008,680000,2016,182000,مدينة الشيخ زايد,أتوماتيك,أبيض,بنزين,2025-04-17
Nissan,Sentra,550000,2017,150000,مدينة نصر,أتوماتيك,أسود,بنزين,2025-04-17
Daewoo,Lanos 2,230000,2004,225000,سوهاج,مانيوال,فضي,بنزين,2025-04-17
Jeep,Grand Cherokee,460000,2001,150000,المرج,أتوماتيك,ذهبي,بنزين,2025-04-17
Jeep,Cherokee,1350000,2013,128000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-17
Nissan,Sunny,380000,2015,370000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Mercedes,C 180,1780000,2015,170000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-17
Daewoo,Lanos,285000,1997,160000,سوهاج,أتوماتيك,اخضر غامق,بنزين,2025-04-17
Lada,Granta,300000,2015,99000,الإسكندرية,مانيوال,بني,بنزين,2025-04-17
Renault,Duster,550000,2015,205000,التجمع - القاهرة الجديدة,مانيوال,فضي,بنزين,2025-04-17
Skoda,Fantasia,450000,2011,360000,الجيزة,أتوماتيك,أسود,بنزين,2025-04-21
Hyundai,Elantra MD,670000,2013,189000,شبرا,أتوماتيك,أبيض,بنزين,2025-04-21
Kia,Carens,780000,2014,340000,القاهرة,أتوماتيك,بني,بنزين,2025-04-21
Opel,Insignia,825000,2014,277000,الجيزة,أتوماتيك,باذنجاني,بنزين,2025-04-21
BMW,318,1050000,2016,174000,مدينة الشيخ زايد,أتوماتيك,رمادي,بنزين,2025-04-21
Changan,CS 55,850000,2022,105000,المعادى,أتوماتيك,احمر,بنزين,2025-04-21
Jeep,Wrangler Unlimited,1650000,2016,160000,6 أكتوبر,أتوماتيك,أبيض,بنزين,2025-04-21
Chery,Tiggo 3,795000,2023,40000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-21
Speranza,M11,230000,2011,19000,شبرا,مانيوال,فضي,بنزين,2025-04-17
Skoda,Octavia A7,890000,2015,155000,مصر الجديدة,أتوماتيك,موكا,بنزين,2025-04-17
Suzuki,Swift,760000,2022,37000,بنها,أتوماتيك,احمر,بنزين,2025-04-17
Opel,Vectra,230000,1997,390000,طنطا,أتوماتيك,احمر غامق,بنزين,2025-04-17
Fiat,Tipo,870000,2022,54000,6 أكتوبر,أتوماتيك,فيراني,بنزين,2025-04-17
Peugeot,301,500000,2014,220000,الشرقية,أتوماتيك,برونزي,بنزين,2025-04-17
Mitsubishi,Lancer Puma,550000,2007,205000,العبور,أتوماتيك,فضي,بنزين,2025-04-17
Mercedes,190,230000,1986,340000,القاهرة,مانيوال,فضي,بنزين,2025-04-17
Renault,Fluence,750000,2016,230000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Chevrolet,Lanos,300000,2011,180000,العاشر من رمضان,مانيوال,أسود,بنزين,2025-04-17
Citroën,C4 Grand Picasso,990000,2018,100000,القاهرة,أتوماتيك,احمر غامق,بنزين,2025-04-17
Honda,City,660000,2013,185000,الشروق,أتوماتيك,احمر,بنزين,2025-04-17
Audi,A4,1400000,2019,200000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
BMW,X1,1450000,2017,150000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
Renault,Fluence,630000,2015,118000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-17
Renault,Duster,700000,2019,210000,6 أكتوبر,أتوماتيك,أزرق,بنزين,2025-04-17
Kia,K3,700000,2016,132000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
BMW,X3,1100000,2013,180000,مصر الجديدة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-17
Kia,Sportage,1600000,2021,70000,المهندسين,أتوماتيك,فضي,بنزين,2025-04-17
Seat,Ibiza,890000,2019,65000,مصر الجديدة,أتوماتيك,احمر,بنزين,2025-04-17
Citroën,C3 Aircross,825000,2021,90000,الجيزة,أتوماتيك,احمر,بنزين,2025-04-17
Toyota,Corolla,1220000,2021,75000,حلوان,أتوماتيك,أبيض,بنزين,2025-04-17
Nissan,Juke,1030000,2021,68000,6 أكتوبر,أتوماتيك,أبيض,بنزين,2025-04-17
Opel,Insignia,750000,2015,235000,مدينتى,أتوماتيك,باذنجاني,بنزين,2025-04-17
Peugeot,508,1750000,2022,89000,التجمع - القاهرة الجديدة,أتوماتيك,فيراني,بنزين,2025-04-17
Jeep,Grand Cherokee,1500000,2012,199000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
Kia,K3,1150000,2022,55000,مدينة نصر,أتوماتيك,فيراني,بنزين,2025-04-17
Kia,K3,1330000,2024,9000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-17
Skoda,Octavia A8,1450000,2022,65000,القاهرة,أتوماتيك,أزرق,بنزين,2025-04-17
Hyundai,Elantra CN7,1260000,2023,17000,الفيوم,أتوماتيك,رمادي,بنزين,2025-04-21
Ford,Focus,290000,2005,300000,مدينة نصر,أتوماتيك,ذهبي,بنزين,2025-04-21
Renault,Logan,250000,2010,308000,العبور,مانيوال,فضي,بنزين,2025-04-21
Hyundai,IX 35,995000,2016,160000,المقطم,أتوماتيك,بني,بنزين,2025-04-21
Opel,Crossland,1070000,2022,17000,6 أكتوبر,أتوماتيك,احمر,بنزين,2025-04-21
Opel,Grandland,1450000,2020,106000,6 أكتوبر,أتوماتيك,أبيض,بنزين,2025-04-21
Chevrolet,Aveo,535000,2020,93000,شبرا,أتوماتيك,الأزرق الداكن,بنزين,2025-04-21
Opel,Astra,450000,2007,130000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-21
Peugeot,3008,2130000,2024,10000,المقطم,أتوماتيك,فضي,بنزين,2025-04-21
BMW,X1,1750000,2020,100000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-21
Opel,Corsa,240000,2004,176000,القطامية,مانيوال,فضي,بنزين,2025-04-17
Toyota,Corolla,625000,2014,164000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-17
Suzuki,Ciaz,550000,2015,95000,دمنهور,أتوماتيك,فيراني,بنزين,2025-04-17
Kia,Sportage,1250000,2018,87000,مدينة نصر,أتوماتيك,أسود,بنزين,2025-04-17
Volkswagen,Passat,700000,2006,256000,المعادى,أتوماتيك,فضي,بنزين,2025-04-17
Hyundai,Accent,400000,2010,212000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-17
Daewoo,Leganza,200000,2000,200000,مصر الجديدة,أتوماتيك,أسود,بنزين,2025-04-17
Kia,Carens,680000,2011,160000,المحلة,أتوماتيك,فضي,بنزين,2025-04-17
Renault,Megane,1100000,2022,60000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-17
Subaru,XV,950000,2017,134000,المنيا,أتوماتيك,فضي,بنزين,2025-04-17
Kia,K3,700000,2014,200000,البحيرة,أتوماتيك,أبيض,بنزين,2025-04-17
Chevrolet,Aveo,470000,2015,101975,شيراتون,أتوماتيك,فضي,بنزين,2025-04-17
Jeep,Renegade,850000,2016,260000,العبور,أتوماتيك,أسود,بنزين,2025-04-17
Jeep,Cherokee,800000,2008,195000,التجمع - القاهرة الجديدة,أتوماتيك,برونزي,بنزين,2025-04-17
Ssang Yong,Tivoli,690000,2016,190000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-17
BMW,318,1550000,2019,138000,التجمع - القاهرة الجديدة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-17
Speranza,A113,225000,2010,133000,المنصورة,مانيوال,احمر,بنزين,2025-04-17
Nissan,Qashqai,1100000,2021,83000,الشروق,أتوماتيك,أبيض,بنزين,2025-04-17
Volkswagen,Tiguan,2275000,2023,5000,دمياط,أتوماتيك,فضي,بنزين,2025-04-17
Renault,Logan,350000,2014,203000,مرسى مطروح,مانيوال,أزرق,بنزين,2025-04-17
Volkswagen,Jetta,600000,2008,235000,الشروق,أتوماتيك,أسود,بنزين,2025-04-17
Nissan,Sentra,605000,2016,176000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-17
Chevrolet,Optra,590000,2020,50000,مصر الجديدة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-17
Fiat,Shahin,165000,1995,75000,طنطا,مانيوال,فضي,بنزين,2025-04-17
Renault,Duster,850000,2019,140000,المهندسين,أتوماتيك,ذهبي,بنزين,2025-04-17
Citroën,C3,330000,2008,216000,العاشر من رمضان,أتوماتيك,أسود,بنزين,2025-04-17
Opel,Astra,850000,2020,77000,المحلة,أتوماتيك,فضي,بنزين,2025-04-17
Geely,Emgrand 7,360000,2017,230000,6 أكتوبر,مانيوال,أسود,بنزين,2025-04-17
Speranza,A113,220000,2011,136000,الهرم,مانيوال,احمر غامق,بنزين,2025-04-17
Kia,Sorento,1493000,2023,26974,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Kia,Sorento,1450000,2023,98266,المعادى,أتوماتيك,أسود,هجين,2025-04-21
Kia,Sorento,1519000,2023,20071,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Kia,Sorento,1430000,2023,49597,المعادى,أتوماتيك,أبيض,هجين,2025-04-21
Kia,Sorento,1442000,2023,16506,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Kia,Sorento,1442000,2023,27643,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Kia,Sorento,1438000,2023,27979,المعادى,أتوماتيك,أبيض,هجين,2025-04-21
Kia,Sorento,1450000,2023,53704,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Kia,Sorento,1458000,2023,31806,المعادى,أتوماتيك,أبيض,هجين,2025-04-21
Mitsubishi,Attrage,425000,2015,95000,السويس,أتوماتيك,أبيض,بنزين,2025-04-17
BMW,323,120000,1980,200000,العبور,أتوماتيك,أبيض,بنزين,2025-04-17
Skoda,Octavia A4,380000,2004,150000,الإسكندرية,مانيوال,اخضر غامق,بنزين,2025-04-17
Nissan,Sunny,560000,2022,100000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Skoda,Fantasia,600000,2010,200000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-17
Nissan,Sunny,685000,2023,900000,الإسكندرية,أتوماتيك,احمر,بنزين,2025-04-17
Nissan,Sunny,550000,2019,121000,6 أكتوبر,أتوماتيك,برونزي,بنزين,2025-04-17
Kia,Shuma,250000,2000,200000,الإسماعيلية,مانيوال,احمر,بنزين,2025-04-17
Renault,Kadjar,1000000,2020,82000,مصر الجديدة,أتوماتيك,بترولي,بنزين,2025-04-17
Chevrolet,Captiva,970000,2021,92000,العبور,أتوماتيك,أسود,بنزين,2025-04-17
Chery,Tiggo 7,985000,2023,17000,مدينة الشيخ زايد,أتوماتيك,بني,بنزين,2025-04-17
Renault,Sandero Step Way,850000,2020,100000,طنطا,أتوماتيك,أزرق,بنزين,2025-04-17
Volkswagen,Passat,2190000,2021,13000,مصر الجديدة,أتوماتيك,رمادي,بنزين,2025-04-17
Zotye,Xplosion,210000,2008,195000,الهرم,مانيوال,أسود,بنزين,2025-04-17
Renault,Megane,900000,2020,38000,المقطم,أتوماتيك,أسود,بنزين,2025-04-17
Renault,Logan,210000,2009,278000,عين شمس,مانيوال,بترولي,بنزين,2025-04-17
Hyundai,Getz,470000,2010,145000,الدقهلية,أتوماتيك,فضي,بنزين,2025-04-17
Opel,Grandland,1400000,2021,50000,التجمع - القاهرة الجديدة,أتوماتيك,أزرق,بنزين,2025-04-17
Chery,A11,170000,2006,110000,القاهرة,مانيوال,فضي,بنزين,2025-04-17
Toyota,Corolla,950000,2019,175000,القاهرة,أتوماتيك,بني,بنزين,2025-04-17
Kia,Cerato,550000,2012,120000,مدينه السلام,أتوماتيك,باذنجاني,بنزين,2025-04-17
Opel,Crossland,900000,2021,37000,مدينة نصر,أتوماتيك,احمر,بنزين,2025-04-17
Proton,Preve,635000,2019,92000,المعادى,أتوماتيك,أسود,بنزين,2025-04-17
Nissan,Juke,1350000,2025,2100,مدينة الشيخ زايد,أتوماتيك,أزرق,بنزين,2025-04-17
Chevrolet,Cruze,590000,2016,104000,السويس,أتوماتيك,فضي,بنزين,2025-04-17
Opel,Crossland,1050000,2022,80000,التجمع - القاهرة الجديدة,أتوماتيك,احمر,بنزين,2025-04-17
Kia,Sorento,1430000,2023,49597,المعادى,أتوماتيك,رمادي,هجين,2025-04-21
Nissan,Juke,1200000,2022,113000,مدينة نصر,أتوماتيك,احمر غامق,بنزين,2025-04-21
Toyota,Corolla,1480000,2025,10000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-21
Volvo,XC 40,2080000,2021,82596,المعادى,أتوماتيك,أبيض,بنزين,2025-04-21
MG,6,1000000,2022,80555,المعادى,أتوماتيك,احمر,بنزين,2025-04-21
Mercedes,C 180,2270000,2019,103570,المعادى,أتوماتيك,رمادي,بنزين,2025-04-21
Hyundai,Accent RB,750000,2017,125000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Nissan,Juke,600000,2013,250000,6 أكتوبر,أتوماتيك,أسود,بنزين,2025-04-21
Opel,Vectra,150000,1995,260000,الجيزة,مانيوال,أبيض,بنزين,2025-04-21
Seat,Ibiza,830000,2020,88250,المعادى,أتوماتيك,احمر,بنزين,2025-04-21
Skoda,Octavia A4,340000,2003,350000,المحلة,أتوماتيك,أسود,بنزين,2025-04-17
Geely,Ck,190000,2008,112000,التجمع - القاهرة الجديدة,مانيوال,أبيض,بنزين,2025-04-17
Ford,Kuga,800000,2015,195000,6 أكتوبر,أتوماتيك,بترولي,بنزين,2025-04-17
Kia,Rio,535000,2013,270000,التجمع - القاهرة الجديدة,أتوماتيك,فيراني,بنزين,2025-04-17
Jetour,X70,1150000,2024,7000,مدينة السادات,أتوماتيك,احمر,بنزين,2025-04-17
Mercedes,C 180,950000,2009,290000,شبرا,أتوماتيك,أسود,بنزين,2025-04-17
Opel,Corsa,350000,2007,180000,الإسكندرية,مانيوال,فيراني,بنزين,2025-04-17
Mercedes,C 280,1150000,2008,150000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
Jeep,Cherokee,750000,2010,296000,المنيا,أتوماتيك,أسود,بنزين,2025-04-17
Jeep,Renegade,980000,2017,120000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Chevrolet,Optra,430000,2016,225000,الإسكندرية,أتوماتيك,احمر غامق,بنزين,2025-04-17
Renault,Logan,375000,2013,128000,المعادى,أتوماتيك,احمر غامق,بنزين,2025-04-17
Chevrolet,Optra,490000,2018,136000,الجيزة,أتوماتيك,أسود,بنزين,2025-04-17
Mitsubishi,Lancer Crystala,325000,1998,250000,مدينة نصر,أتوماتيك,اصفر,بنزين,2025-04-17
Citroën,C3 Picasso,470000,2014,166000,6 أكتوبر,أتوماتيك,رمادي,بنزين,2025-04-17
Mazda,Mazda 3,390000,2008,330000,المقطم,أتوماتيك,أسود,بنزين,2025-04-17
Kia,Shuma,250000,2001,200000,سوهاج,مانيوال,أخضر,بنزين,2025-04-17
Changan,Eado plus,560000,2022,30000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-17
Chery,Envy,420000,2014,155000,الهرم,أتوماتيك,بترولي,بنزين,2025-04-17
Mercedes,CLA 200,3150000,2024,40000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-17
Nissan,Sunny,400000,2008,250000,مصر الجديدة,مانيوال,احمر غامق,بنزين,2025-04-17
Renault,Logan,550000,2019,55000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Hyundai,Matrix,580000,2010,95000,القاهرة,أتوماتيك,فيراني,بنزين,2025-04-17
Speranza,Tiggo,400000,2012,400000,البحر الأحمر,مانيوال,رمادي,بنزين,2025-04-17
Nissan,Qashqai,875000,2018,169000,التجمع - القاهرة الجديدة,أتوماتيك,احمر,بنزين,2025-04-21
Suzuki,Swift,790000,2024,8000,التجمع - القاهرة الجديدة,أتوماتيك,أبيض,بنزين,2025-04-21
Mitsubishi,Lancer Puma,520000,2009,135000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Daewoo,Nubira 2,210000,2002,385000,صفط اللبن,مانيوال,أبيض,بنزين,2025-04-21
Nissan,Sentra,890000,2023,18000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Geely,GX3 Pro,810000,2024,10000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Citroën,C4,330000,2007,293000,الجيزة,مانيوال,أسود,بنزين,2025-04-21
Hyundai,Galloper,285000,2000,320000,مدينة الشيخ زايد,أتوماتيك,أسود,بنزين,2025-04-21
Renault,Duster,770000,2020,138000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-21
Peugeot,308 sw,525000,2011,200000,المهندسين,أتوماتيك,احمر,بنزين,2025-04-21
Peugeot,208,550000,2016,170000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-17
Nissan,Sunny,670000,2022,3800,طنطا,أتوماتيك,فضي,بنزين,2025-04-17
Hyundai,Elantra HD,675000,2018,120000,الغربية,أتوماتيك,أسود,بنزين,2025-04-17
Suzuki,Maruti,130000,2006,40000,الإسكندرية,مانيوال,فضي,بنزين,2025-04-17
Renault,Logan,505000,2018,97500,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-17
Kia,Soul,820000,2013,122000,6 أكتوبر,أتوماتيك,بترولي,بنزين,2025-04-17
Chery,Envy,310000,2017,177000,القاهرة,مانيوال,ذهبي,بنزين,2025-04-17
Hyundai,Verna,380000,2016,130000,عين شمس,مانيوال,أسود,بنزين,2025-04-17
BMW,X3,2250000,2017,50000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-17
